date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:38	70815/70815	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2009:51:38%20GMT	https://www.wadhefa.com/	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/index.html	(from )
12:51:38	372/372	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20Aug%202022%2006:22:31%20GMT	https://www.wadhefa.com/robots.txt		(from )
12:51:39	17696/17696	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Jun%202022%2013:02:48%20GMT	https://www.wadhefa.com/images/logo_nt3_250x250.png	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/images/logo_nt3_250x250.png	(from https://www.wadhefa.com/)
12:51:39	312/312	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Oct%202025%2009:51:39%20GMT	http://www.wadhefa.com/arabic/themes/default/assets/static/arabic/grayarabicnew/style-v281.css	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/arabic/themes/default/assets/static/arabic/grayarabicnew/style-v281.1.delayed	(from https://www.wadhefa.com/)
12:51:40	57730/57730	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Sep%202025%2009:00:41%20GMT	https://www.wadhefa.com/themes/default/assets/static/arabic/grayarabicnew/style-v281.css?language=arabic	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/themes/default/assets/static/arabic/grayarabicnew/style-v281ed62.css	(from https://www.wadhefa.com/)
12:51:40	0/0	---M--	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2009:51:39%20GMT	https://www.wadhefa.com/count.php?tm=	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/counta278.php	(from https://www.wadhefa.com/)
12:51:40	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Fri,%2010%20Jun%202022%2013:33:06%20GMT	https://www.wadhefa.com/icons/favicon.ico	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/icons/favicon.ico	(from https://www.wadhefa.com/)
12:51:40	9263/9263	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2013:33:06%20GMT	https://www.wadhefa.com/icons/120x120.png	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/icons/120x120.png	(from https://www.wadhefa.com/)
12:51:40	21119/21119	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2013:33:06%20GMT	https://www.wadhefa.com/icons/57x57.png	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/icons/57x57.png	(from https://www.wadhefa.com/)
12:51:41	21119/21119	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2013:33:06%20GMT	https://www.wadhefa.com/icons/76x76.png	C:/My%20Web%20Sites/wadhefa/www.wadhefa.com/icons/76x76.png	(from https://www.wadhefa.com/)
